"Time","Cool Math Games"
"2021-05-01",40
"2021-06-01",19
"2021-07-01",12
"2021-08-01",27
"2021-09-01",56
"2021-10-01",47
"2021-11-01",37
"2021-12-01",34
"2022-01-01",34
"2022-02-01",33
"2022-03-01",39
"2022-04-01",84
"2022-05-01",95
"2022-06-01",32
"2022-07-01",13
"2022-08-01",55
"2022-09-01",98
"2022-10-01",77
"2022-11-01",73
"2022-12-01",70
"2023-01-01",74
"2023-02-01",84
"2023-03-01",87
"2023-04-01",74
"2023-05-01",88
"2023-06-01",27
"2023-07-01",12
"2023-08-01",58
"2023-09-01",95
"2023-10-01",90
"2023-11-01",71
"2023-12-01",69
"2024-01-01",76
"2024-02-01",93
"2024-03-01",84
"2024-04-01",87
"2024-05-01",100
"2024-06-01",25
"2024-07-01",11
"2024-08-01",66
"2024-09-01",100
"2024-10-01",92
"2024-11-01",72
"2024-12-01",76
"2025-01-01",76
"2025-02-01",80
"2025-03-01",71
"2025-04-01",74
"2025-05-01",76
"2025-06-01",22
"2025-07-01",9
"2025-08-01",54
"2025-09-01",87
"2025-10-01",79
"2025-11-01",58
"2025-12-01",56
"2026-01-01",53
"2026-02-01",57
"2026-03-01",54
"2026-04-01",52
